Body Regions;A01
Psoas Muscles;A02.633.567.825
Quadriceps Muscle;A02.633.567.850
Respiratory Muscles;A02.633.567.900
Diaphragm;A02.633.567.900.300
Intercostal Muscles;A02.633.567.900.500
Rotator Cuff;A02.633.567.912
Stapedius;A02.633.567.950
Tensor Tympani;A02.633.567.975
Muscle, Smooth;A02.633.570
Esophageal Sphincter, Lower;A02.633.570.210
Muscle, Smooth, Vascular;A02.633.570.491
Tunica Media;A02.633.570.491.800
Myometrium;A02.633.570.500
Myocardium;A02.633.580
Papillary Muscles;A02.633.580.680
Skeleton;A02.835
Bone and Bones;A02.835.232
Bones of Lower Extremity;A02.835.232.043
Foot Bones;A02.835.232.043.300
Metatarsal Bones;A02.835.232.043.300.492
Tarsal Bones;A02.835.232.043.300.710
Calcaneus;A02.835.232.043.300.710.300
Talus;A02.835.232.043.300.710.780
Toe Phalanges;A02.835.232.043.300.800
Leg Bones;A02.835.232.043.650
Femur;A02.835.232.043.650.247
Femur Head;A02.835.232.043.650.247.343
Femur Neck;A02.835.232.043.650.247.510
Fibula;A02.835.232.043.650.321
Patella;A02.835.232.043.650.624
Tibia;A02.835.232.043.650.883
Pelvic Bones;A02.835.232.043.825
Acetabulum;A02.835.232.043.825.108
Ilium;A02.835.232.043.825.434
Ischium;A02.835.232.043.825.548
Pubic Bone;A02.835.232.043.825.781
Bones of Upper Extremity;A02.835.232.087
Arm Bones;A02.835.232.087.090
Humerus;A02.835.232.087.090.400
Humeral Head;A02.835.232.087.090.400.400
Radius;A02.835.232.087.090.700
Ulna;A02.835.232.087.090.850
Olecranon Process;A02.835.232.087.090.850.600
Clavicle;A02.835.232.087.227
Hand Bones;A02.835.232.087.319
Carpal Bones;A02.835.232.087.319.150
Capitate Bone;A02.835.232.087.319.150.150
Hamate Bone;A02.835.232.087.319.150.400
Lunate Bone;A02.835.232.087.319.150.500
Pisiform Bone;A02.835.232.087.319.150.600
Scaphoid Bone;A02.835.232.087.319.150.750
Trapezium Bone;A02.835.232.087.319.150.800
Trapezoid Bone;A02.835.232.087.319.150.805
Triquetrum Bone;A02.835.232.087.319.150.831
Finger Phalanges;A02.835.232.087.319.350
Metacarpal Bones;A02.835.232.087.319.550
Scapula;A02.835.232.087.783
Acromion;A02.835.232.087.783.261
Glenoid Cavity;A02.835.232.087.783.450
Diaphyses;A02.835.232.169
Epiphyses;A02.835.232.251
Growth Plate;A02.835.232.251.352
Hyoid Bone;A02.835.232.409
Sesamoid Bones;A02.835.232.730
Skull;A02.835.232.781
Cranial Fontanelles;A02.835.232.781.175
Cranial Sutures;A02.835.232.781.200
Ethmoid Bone;A02.835.232.781.292
Facial Bones;A02.835.232.781.324
Jaw;A02.835.232.781.324.502
Alveolar Process;A02.835.232.781.324.502.125
Tooth Socket;A02.835.232.781.324.502.125.800
Dental Arch;A02.835.232.781.324.502.320
Mandible;A02.835.232.781.324.502.632
Chin;A02.835.232.781.324.502.632.130
Mandibular Condyle;A02.835.232.781.324.502.632.600
Maxilla;A02.835.232.781.324.502.645
Palate, Hard;A02.835.232.781.324.502.660
Nasal Bone;A02.835.232.781.324.665
Orbit;A02.835.232.781.324.690
Turbinates;A02.835.232.781.324.948
Vomer;A02.835.232.781.324.971
Zygoma;A02.835.232.781.324.995
Frontal Bone;A02.835.232.781.375
Occipital Bone;A02.835.232.781.572
Foramen Magnum;A02.835.232.781.572.434
Parietal Bone;A02.835.232.781.651
Pterygopalatine Fossa;A02.835.232.781.670
Skull Base;A02.835.232.781.750
Cranial Fossa, Anterior;A02.835.232.781.750.150
Cranial Fossa, Middle;A02.835.232.781.750.165
Cranial Fossa, Posterior;A02.835.232.781.750.400
Sphenoid Bone;A02.835.232.781.802
Sella Turcica;A02.835.232.781.802.662
Temporal Bone;A02.835.232.781.885
Mastoid;A02.835.232.781.885.444
Petrous Bone;A02.835.232.781.885.681
Spine;A02.835.232.834
Cervical Vertebrae;A02.835.232.834.151
Axis;A02.835.232.834.151.383
Odontoid Process;A02.835.232.834.151.383.668
Cervical Atlas;A02.835.232.834.151.500
Coccyx;A02.835.232.834.229
Intervertebral Disc;A02.835.232.834.432
Lumbar Vertebrae;A02.835.232.834.519
Sacrum;A02.835.232.834.717
Spinal Canal;A02.835.232.834.803
Epidural Space;A02.835.232.834.803.350
Thoracic Vertebrae;A02.835.232.834.892
Thorax;A02.835.232.904
Ribs;A02.835.232.904.567
Cervical Rib;A02.835.232.904.567.150
Sternum;A02.835.232.904.766
Manubrium;A02.835.232.904.766.442
Xiphoid Bone;A02.835.232.904.766.825
Joints;A02.835.583
Acromioclavicular Joint;A02.835.583.032
Atlanto-Axial Joint;A02.835.583.097
Atlanto-Occipital Joint;A02.835.583.101
Bursa, Synovial;A02.835.583.156
Cartilage, Articular;A02.835.583.192
Elbow Joint;A02.835.583.290
Foot Joints;A02.835.583.378
Ankle Joint;A02.835.583.378.062
Metatarsophalangeal Joint;A02.835.583.378.531
Tarsal Joints;A02.835.583.378.831
Subtalar Joint;A02.835.583.378.831.780
Toe Joint;A02.835.583.378.900
Hand Joints;A02.835.583.405
Carpal Joints;A02.835.583.405.174
Carpometacarpal Joints;A02.835.583.405.200
Finger Joint;A02.835.583.405.350
Metacarpophalangeal Joint;A02.835.583.405.500
Volar Plate;A02.835.583.405.500.900
Wrist Joint;A02.835.583.405.930
Triangular Fibrocartilage;A02.835.583.405.930.800
Hip Joint;A02.835.583.411
Joint Capsule;A02.835.583.443
Synovial Membrane;A02.835.583.443.800
Synovial Fluid;A02.835.583.443.800.800
Knee Joint;A02.835.583.475
Menisci, Tibial;A02.835.583.475.590
Patellofemoral Joint;A02.835.583.475.650
Ligaments, Articular;A02.835.583.512
Anterior Cruciate Ligament;A02.835.583.512.100
Collateral Ligaments;A02.835.583.512.162
Lateral Ligament, Ankle;A02.835.583.512.162.500
Medial Collateral Ligament, Knee;A02.835.583.512.162.600
Ligamentum Flavum;A02.835.583.512.287
Longitudinal Ligaments;A02.835.583.512.350
Patellar Ligament;A02.835.583.512.475
Posterior Cruciate Ligament;A02.835.583.512.600
Volar Plate;A02.835.583.512.900
Pubic Symphysis;A02.835.583.656
Sacroiliac Joint;A02.835.583.707
Shoulder Joint;A02.835.583.748
Sternoclavicular Joint;A02.835.583.781
Sternocostal Joints;A02.835.583.790
Temporomandibular Joint;A02.835.583.861
Temporomandibular Joint Disc;A02.835.583.861.900
Zygapophyseal Joint;A02.835.583.979
Tendons;A02.880
Achilles Tendon;A02.880.176
Patellar Ligament;A02.880.438
Rotator Cuff;A02.880.700
Digestive System;A03
Biliary Tract;A03.159
Bile Ducts;A03.159.183
Bile Ducts, Extrahepatic;A03.159.183.079
Common Bile Duct;A03.159.183.079.300
Ampulla of Vater;A03.159.183.079.300.950
Sphincter of Oddi;A03.159.183.079.300.950.600
Cystic Duct;A03.159.183.079.450
Hepatic Duct, Common;A03.159.183.079.600
Bile Ducts, Intrahepatic;A03.159.183.158
Bile Canaliculi;A03.159.183.158.125
Gallbladder;A03.159.439
Gastrointestinal Tract;A03.556
Intestines;A03.556.124
Intestinal Mucosa;A03.556.124.369
Enterocytes;A03.556.124.369.290
Goblet Cells;A03.556.124.369.320
Paneth Cells;A03.556.124.369.700
Intestine, Large;A03.556.124.526
Anal Canal;A03.556.124.526.070
Cecum;A03.556.124.526.209
Appendix;A03.556.124.526.209.290
Colon;A03.556.124.526.356
Colon, Ascending;A03.556.124.526.356.333
Colon, Descending;A03.556.124.526.356.500
Colon, Sigmoid;A03.556.124.526.356.668
Colon, Transverse;A03.556.124.526.356.834
Rectum;A03.556.124.526.767
Intestine, Small;A03.556.124.684
Duodenum;A03.556.124.684.124
Ampulla of Vater;A03.556.124.684.124.236
Sphincter of Oddi;A03.556.124.684.124.236.572
Brunner Glands;A03.556.124.684.124.322
Ileum;A03.556.124.684.249
Ileocecal Valve;A03.556.124.684.249.400
Meckel Diverticulum;A03.556.124.684.249.612
Jejunum;A03.556.124.684.500
Lower Gastrointestinal Tract;A03.556.249
Ileum;A03.556.249.124
Ileocecal Valve;A03.556.249.124.400
Meckel Diverticulum;A03.556.249.124.612
Intestine, Large;A03.556.249.249
Anal Canal;A03.556.249.249.070
Cecum;A03.556.249.249.209
Appendix;A03.556.249.249.209.290
Colon;A03.556.249.249.356
Colon, Ascending;A03.556.249.249.356.333
Colon, Descending;A03.556.249.249.356.500
Colon, Sigmoid;A03.556.249.249.356.668
Colon, Transverse;A03.556.249.249.356.834
Rectum;A03.556.249.249.767
Jejunum;A03.556.249.750
Mouth;A03.556.500
Dentition;A03.556.500.379
Salivary Glands;A03.556.500.760
Parotid Gland;A03.556.500.760.464
Salivary Ducts;A03.556.500.760.640
Salivary Glands, Minor;A03.556.500.760.650
Sublingual Gland;A03.556.500.760.687
Submandibular Gland;A03.556.500.760.812
von Ebner Glands;A03.556.500.760.906
Tongue;A03.556.500.885
Lingual Frenum;A03.556.500.885.431
Taste Buds;A03.556.500.885.779
Pharynx;A03.556.750
Upper Gastrointestinal Tract;A03.556.875
Duodenum;A03.556.875.249
Ampulla of Vater;A03.556.875.249.160
Sphincter of Oddi;A03.556.875.249.160.572
Brunner Glands;A03.556.875.249.322
Esophagus;A03.556.875.500
Esophageal Sphincter, Upper;A03.556.875.500.360
Esophagogastric Junction;A03.556.875.500.414
Esophageal Sphincter, Lower;A03.556.875.500.414.350
Stomach;A03.556.875.875
Cardia;A03.556.875.875.163
Esophagogastric Junction;A03.556.875.875.330
Esophageal Sphincter, Lower;A03.556.875.875.330.350
Gastric Fundus;A03.556.875.875.419
Gastric Mucosa;A03.556.875.875.440
Chief Cells, Gastric;A03.556.875.875.440.150
Enterochromaffin Cells;A03.556.875.875.440.250
Gastrin-Secreting Cells;A03.556.875.875.440.300
Parietal Cells, Gastric;A03.556.875.875.440.708
Somatostatin-Secreting Cells;A03.556.875.875.440.854
Gastric Stump;A03.556.875.875.578
Pyloric Antrum;A03.556.875.875.716
Pylorus;A03.556.875.875.799
Liver;A03.620
Bile Ducts, Intrahepatic;A03.620.150
Bile Canaliculi;A03.620.150.125
Pancreas;A03.734
Islets of Langerhans;A03.734.414
Glucagon-Secreting Cells;A03.734.414.065
Insulin-Secreting Cells;A03.734.414.131
Pancreatic Polypeptide-Secreting Cells;A03.734.414.587
Somatostatin-Secreting Cells;A03.734.414.793
Pancreas, Exocrine;A03.734.540
Pancreatic Ducts;A03.734.667
Respiratory System;A04
Larynx;A04.329
Glottis;A04.329.364
Vocal Cords;A04.329.364.737
Laryngeal Cartilages;A04.329.591
Arytenoid Cartilage;A04.329.591.085
Cricoid Cartilage;A04.329.591.211
Epiglottis;A04.329.591.411
Thyroid Cartilage;A04.329.591.870
Laryngeal Mucosa;A04.329.597
Goblet Cells;A04.329.597.320
Laryngeal Muscles;A04.329.604
Lung;A04.411
Bronchi;A04.411.125
Bronchioles;A04.411.125.500
Pulmonary Alveoli;A04.411.715
Blood-Air Barrier;A04.411.715.025
Pneumocytes;A04.411.715.512
Nose;A04.531
Nasal Bone;A04.531.378
Nasal Cartilages;A04.531.413
Nasal Cavity;A04.531.449
Nasal Mucosa;A04.531.520
Goblet Cells;A04.531.520.320
Olfactory Mucosa;A04.531.520.573
Olfactory Receptor Neurons;A04.531.520.573.580
Nasal Septum;A04.531.591
Vomer;A04.531.591.469
Paranasal Sinuses;A04.531.621
Ethmoid Sinus;A04.531.621.267
Frontal Sinus;A04.531.621.387
Maxillary Sinus;A04.531.621.578
Sphenoid Sinus;A04.531.621.827
Turbinates;A04.531.898
Pharynx;A04.623
Hypopharynx;A04.623.490
Pyriform Sinus;A04.623.490.600
Nasopharynx;A04.623.557
Adenoids;A04.623.557.500
Oropharynx;A04.623.603
Palatine Tonsil;A04.623.603.925
Pharyngeal Muscles;A04.623.617
Esophageal Sphincter, Upper;A04.623.617.360
Velopharyngeal Sphincter;A04.623.617.680
Pleura;A04.716
Respiratory Mucosa;A04.760
Goblet Cells;A04.760.259
Laryngeal Mucosa;A04.760.520
Nasal Mucosa;A04.760.600
Olfactory Mucosa;A04.760.600.640
Olfactory Receptor Neurons;A04.760.600.640.640
Trachea;A04.889
Urogenital System;A05
Genitalia;A05.360
Genitalia, Female;A05.360.319
Adnexa Uteri;A05.360.319.114
Broad Ligament;A05.360.319.114.170
Fallopian Tubes;A05.360.319.114.373
Ovary;A05.360.319.114.630
Corpus Luteum;A05.360.319.114.630.278
Luteal Cells;A05.360.319.114.630.278.400
Ovarian Follicle;A05.360.319.114.630.535
Follicular Fluid;A05.360.319.114.630.535.150
Granulosa Cells;A05.360.319.114.630.535.200
Cumulus Cells;A05.360.319.114.630.535.200.500
Theca Cells;A05.360.319.114.630.535.400
Round Ligament;A05.360.319.114.803
Uterus;A05.360.319.679
Cervix Uteri;A05.360.319.679.256
Endometrium;A05.360.319.679.490
Decidua;A05.360.319.679.490.373
Deciduoma;A05.360.319.679.490.373.500
Myometrium;A05.360.319.679.690
Vagina;A05.360.319.779
Hymen;A05.360.319.779.479
Vulva;A05.360.319.887
Bartholin's Glands;A05.360.319.887.220
Clitoris;A05.360.319.887.436
Genitalia, Male;A05.360.444
Bulbourethral Glands;A05.360.444.123
Ejaculatory Ducts;A05.360.444.251
Epididymis;A05.360.444.371
Penis;A05.360.444.492
Foreskin;A05.360.444.492.362
Urethra;A05.360.444.492.726
Prostate;A05.360.444.575
Scrotum;A05.360.444.661
Seminal Vesicles;A05.360.444.713
Spermatic Cord;A05.360.444.777
Testis;A05.360.444.849
Leydig Cells;A05.360.444.849.513
Rete Testis;A05.360.444.849.600
Seminiferous Tubules;A05.360.444.849.700
Blood-Testis Barrier;A05.360.444.849.700.349
Seminiferous Epithelium;A05.360.444.849.700.700
Sertoli Cells;A05.360.444.849.789
Vas Deferens;A05.360.444.930
Germ Cells;A05.360.490
Ovum;A05.360.490.690
Oocytes;A05.360.490.690.680
Polar Bodies;A05.360.490.690.680.500
Oogonia;A05.360.490.690.700
Zona Pellucida;A05.360.490.690.950
Zygote;A05.360.490.690.970
Spermatozoa;A05.360.490.890
Sperm Head;A05.360.490.890.820
Acrosome;A05.360.490.890.820.100
Sperm Midpiece;A05.360.490.890.830
Sperm Tail;A05.360.490.890.840
Spermatids;A05.360.490.890.860
Spermatocytes;A05.360.490.890.880
Spermatogonia;A05.360.490.890.900
Gonads;A05.360.576
Ovary;A05.360.576.497
Testis;A05.360.576.782
Urinary Tract;A05.810
Kidney;A05.810.453
Kidney Cortex;A05.810.453.324
Kidney Glomerulus;A05.810.453.324.359
Glomerular Filtration Barrier;A05.810.453.324.359.372
Glomerular Basement Membrane;A05.810.453.324.359.372.400
Podocytes;A05.810.453.324.359.372.650
Juxtaglomerular Apparatus;A05.810.453.324.359.520
Mesangial Cells;A05.810.453.324.359.620
Glomerular Mesangium;A05.810.453.324.359.620.500
Kidney Medulla;A05.810.453.466
Kidney Pelvis;A05.810.453.537
Kidney Calices;A05.810.453.537.503
Nephrons;A05.810.453.736
Kidney Glomerulus;A05.810.453.736.520
Glomerular Basement Membrane;A05.810.453.736.520.224
Glomerular Filtration Barrier;A05.810.453.736.520.372
Juxtaglomerular Apparatus;A05.810.453.736.520.520
Mesangial Cells;A05.810.453.736.520.620
Glomerular Mesangium;A05.810.453.736.520.620.500
Podocytes;A05.810.453.736.520.720
Kidney Tubules;A05.810.453.736.560
Bowman Capsule;A05.810.453.736.560.254
Kidney Tubules, Collecting;A05.810.453.736.560.510
Kidney Tubules, Distal;A05.810.453.736.560.540
Kidney Tubules, Proximal;A05.810.453.736.560.570
Loop of Henle;A05.810.453.736.560.610
Ureter;A05.810.776
Urethra;A05.810.876
Urinary Bladder;A05.810.890
Endocrine System;A06
Chromaffin System;A06.224
Chromaffin Cells;A06.224.161
Chromaffin Granules;A06.224.161.500
Enterochromaffin Cells;A06.224.358
Enterochromaffin-like Cells;A06.224.365
Para-Aortic Bodies;A06.224.636
Paraganglia, Chromaffin;A06.224.736
Enteroendocrine Cells;A06.390
Enterochromaffin Cells;A06.390.021
Enterochromaffin-like Cells;A06.390.043
Gastrin-Secreting Cells;A06.390.065
Glucagon-Secreting Cells;A06.390.087
Insulin-Secreting Cells;A06.390.131
Pancreatic Polypeptide-Secreting Cells;A06.390.650
Somatostatin-Secreting Cells;A06.390.825
Endocrine Glands;A06.407
Adrenal Glands;A06.407.071
Adrenal Cortex;A06.407.071.140
Zona Fasciculata;A06.407.071.140.950
Zona Glomerulosa;A06.407.071.140.960
Zona Reticularis;A06.407.071.140.970
Adrenal Medulla;A06.407.071.265
Gonads;A06.407.312
Ovary;A06.407.312.497
Corpus Luteum;A06.407.312.497.278
Luteal Cells;A06.407.312.497.278.400
Ovarian Follicle;A06.407.312.497.535
Follicular Fluid;A06.407.312.497.535.150
Granulosa Cells;A06.407.312.497.535.300
Cumulus Cells;A06.407.312.497.535.300.500
Theca Cells;A06.407.312.497.535.600
Testis;A06.407.312.782
Leydig Cells;A06.407.312.782.513
Islets of Langerhans;A06.407.414
Glucagon-Secreting Cells;A06.407.414.043
Insulin-Secreting Cells;A06.407.414.087
Pancreatic Polypeptide-Secreting Cells;A06.407.414.587
Somatostatin-Secreting Cells;A06.407.414.793
Parathyroid Glands;A06.407.560
Pineal Gland;A06.407.635
Pituitary-Adrenal System;A06.407.691
Pituitary Gland;A06.407.747
Pituitary Gland, Anterior;A06.407.747.500
Corticotrophs;A06.407.747.500.500
Gonadotrophs;A06.407.747.500.750
Lactotrophs;A06.407.747.500.812
Somatotrophs;A06.407.747.500.937
Thyrotrophs;A06.407.747.500.968
Pituitary Gland, Intermediate;A06.407.747.750
Melanotrophs;A06.407.747.750.500
Pituitary Gland, Posterior;A06.407.747.875
Thyroid Gland;A06.407.900
Neurosecretory Systems;A06.688
Circumventricular Organs;A06.688.178
Area Postrema;A06.688.178.500
Median Eminence;A06.688.178.750
Pituitary Gland, Posterior;A06.688.178.875
Subcommissural Organ;A06.688.178.937
Subfornical Organ;A06.688.178.968
Glomus Tympanicum;A06.688.267
Hypothalamo-Hypophyseal System;A06.688.357
Median Eminence;A06.688.357.500
Pituitary Gland;A06.688.357.750
Pituitary Gland, Anterior;A06.688.357.750.500
Corticotrophs;A06.688.357.750.500.500
Gonadotrophs;A06.688.357.750.500.750
Lactotrophs;A06.688.357.750.500.812
Somatotrophs;A06.688.357.750.500.937
Thyrotrophs;A06.688.357.750.500.968
Pituitary Gland, Intermediate;A06.688.357.750.750
Melanotrophs;A06.688.357.750.750.500
Pituitary Gland, Posterior;A06.688.357.750.875
Pineal Gland;A06.688.733
Cardiovascular System;A07
Blood-Air Barrier;A07.025
Blood-Aqueous Barrier;A07.030
Blood-Brain Barrier;A07.035
Blood-Nerve Barrier;A07.037
Blood-Retinal Barrier;A07.040
Blood-Testis Barrier;A07.045
Blood Vessels;A07.231
Arteries;A07.231.114
Aorta;A07.231.114.056
Aorta, Abdominal;A07.231.114.056.205
Aorta, Thoracic;A07.231.114.056.372
Sinus of Valsalva;A07.231.114.056.847
Arterioles;A07.231.114.060
Axillary Artery;A07.231.114.085
Basilar Artery;A07.231.114.106
Brachial Artery;A07.231.114.139
Brachiocephalic Trunk;A07.231.114.145
Bronchial Arteries;A07.231.114.158
Carotid Arteries;A07.231.114.186
Carotid Artery, Common;A07.231.114.186.200
Carotid Artery, External;A07.231.114.186.200.210
Carotid Artery, Internal;A07.231.114.186.200.230
Carotid Sinus;A07.231.114.186.456
Celiac Artery;A07.231.114.207
Cerebral Arteries;A07.231.114.228
Anterior Cerebral Artery;A07.231.114.228.100
Circle of Willis;A07.231.114.228.351
Middle Cerebral Artery;A07.231.114.228.550
Posterior Cerebral Artery;A07.231.114.228.700
Temporal Arteries;A07.231.114.228.868
Ciliary Arteries;A07.231.114.248
Coronary Vessels;A07.231.114.269
Epigastric Arteries;A07.231.114.330
Femoral Artery;A07.231.114.351
Gastroepiploic Artery;A07.231.114.379
Hepatic Artery;A07.231.114.407
Iliac Artery;A07.231.114.444
Maxillary Artery;A07.231.114.523
Meningeal Arteries;A07.231.114.545
Mesenteric Arteries;A07.231.114.565
Mesenteric Artery, Inferior;A07.231.114.565.510
Mesenteric Artery, Superior;A07.231.114.565.755
Ophthalmic Artery;A07.231.114.622
Popliteal Artery;A07.231.114.681
Pulmonary Artery;A07.231.114.715
Radial Artery;A07.231.114.740
Renal Artery;A07.231.114.745
Retinal Artery;A07.231.114.765
Splenic Artery;A07.231.114.814
Subclavian Artery;A07.231.114.839
Thoracic Arteries;A07.231.114.891
Mammary Arteries;A07.231.114.891.525
Tibial Arteries;A07.231.114.895
Ulnar Artery;A07.231.114.920
Umbilical Arteries;A07.231.114.929
Uterine Artery;A07.231.114.940
Vertebral Artery;A07.231.114.955
Endothelium, Vascular;A07.231.330
Pericytes;A07.231.330.600
Tunica Intima;A07.231.330.800
Microvessels;A07.231.461
Arterioles;A07.231.461.080
Arteriovenous Anastomosis;A07.231.461.085
Capillaries;A07.231.461.165
Venules;A07.231.461.920
Muscle, Smooth, Vascular;A07.231.491
Tunica Media;A07.231.491.800
Retinal Vessels;A07.231.611
Retinal Artery;A07.231.611.647
Retinal Vein;A07.231.611.773
Tunica Intima;A07.231.700
Vasa Nervorum;A07.231.765
Vasa Vasorum;A07.231.836
Veins;A07.231.908
Axillary Vein;A07.231.908.077
Azygos Vein;A07.231.908.106
Brachiocephalic Veins;A07.231.908.130
Cerebral Veins;A07.231.908.155
Coronary Vessels;A07.231.908.194
Coronary Sinus;A07.231.908.194.500
Cranial Sinuses;A07.231.908.224
Cavernous Sinus;A07.231.908.224.334
Superior Sagittal Sinus;A07.231.908.224.667
Transverse Sinuses;A07.231.908.224.833
Femoral Vein;A07.231.908.314
Hepatic Veins;A07.231.908.380
Iliac Vein;A07.231.908.427
Jugular Veins;A07.231.908.498
Popliteal Vein;A07.231.908.641
Portal System;A07.231.908.670
Mesenteric Veins;A07.231.908.670.385
Portal Vein;A07.231.908.670.567
Splenic Vein;A07.231.908.670.730
Umbilical Veins;A07.231.908.670.874
Pulmonary Veins;A07.231.908.713
Renal Veins;A07.231.908.752
Retinal Vein;A07.231.908.783
Saphenous Vein;A07.231.908.819
Subclavian Vein;A07.231.908.877
Venae Cavae;A07.231.908.949
Vena Cava, Inferior;A07.231.908.949.648
Vena Cava, Superior;A07.231.908.949.815
Venous Valves;A07.231.908.950
Venules;A07.231.908.952
Glomerular Filtration Barrier;A07.500
Heart;A07.541
Endocardium;A07.541.207
Fetal Heart;A07.541.278
Ductus Arteriosus;A07.541.278.395
Truncus Arteriosus;A07.541.278.930
Heart Atria;A07.541.358
Atrial Appendage;A07.541.358.100
Heart Conduction System;A07.541.409
Atrioventricular Node;A07.541.409.147
Bundle of His;A07.541.409.273
